,Delay Time - Replication 8050315 - All (sec/km),Travel Time - Replication 8050315 - All (sec/km),Mean Queue - Replication 8050315 - All (veh),Flow - Replication 8050315 - All (veh/h)
10:15:00 AM,43.05,101.16,59.95,6048
10:30:00 AM,44.08,101.44,61.56,6056
10:45:00 AM,44.51,101.76,63.29,6140
11:00:00 AM,41.26,98.77,59.74,6036
11:15:00 AM,41.28,98.5,60.09,6392
11:30:00 AM,40.27,97.47,56.38,6392
11:45:00 AM,46.28,103.34,67.57,6300
12:00:00 PM,41.65,98.87,60.63,6172
12:15:00 PM,44.46,101.69,66.91,6652
12:30:00 PM,44.49,101.75,67.56,6508
12:45:00 PM,46.66,104.09,73.06,6776
1:00:00 PM,46.77,104.39,67.43,6576
1:15:00 PM,41.53,98.91,61.66,6488
1:30:00 PM,43.29,100.41,71.17,6532
1:45:00 PM,46.58,104.18,69.01,6672
2:00:00 PM,43.46,100.8,66.68,6576
