,Delay Time - Replication 8050322 - All (sec/km),Travel Time - Replication 8050322 - All (sec/km),Mean Queue - Replication 8050322 - All (veh),Flow - Replication 8050322 - All (veh/h)
2:15:00 PM,46.88,105.45,64.84,6168
2:30:00 PM,42.7,100.12,61.96,6052
2:45:00 PM,43.05,100.44,57.86,6092
3:00:00 PM,40.39,97.77,54.01,5720
3:15:00 PM,41.77,99.23,57.9,6020
3:30:00 PM,43.52,100.81,60.57,6032
3:45:00 PM,41.98,99.03,58.51,6140
4:00:00 PM,41.05,98.18,56.26,5936
4:15:00 PM,51.15,108.72,78.2,6704
4:30:00 PM,51.89,109.85,75.86,6588
4:45:00 PM,53.56,111.23,82.93,6844
5:00:00 PM,48.8,106.94,72.14,6880
5:15:00 PM,55.26,113.22,92.88,7392
5:30:00 PM,51.41,109.13,78.64,7052
5:45:00 PM,51.23,108.91,86.63,7060
6:00:00 PM,53.83,112.03,84.79,7212
6:15:00 PM,50.02,107.54,82.24,7028
6:30:00 PM,49.4,107.46,78.55,6824
6:45:00 PM,50.31,107.85,80.7,6932
7:00:00 PM,49.03,106.67,77.28,6664
7:15:00 PM,46.43,103.47,56.44,5740
7:30:00 PM,42.69,99.4,52.41,5588
7:45:00 PM,41.14,97.71,54.21,5888
8:00:00 PM,40.94,97.21,48.57,5500
08:15:00 PM,37.36,94.31,40.57,4452
08:30:00 PM,37.33,93.82,36.62,4480
08:45:00 PM,38.84,95.83,37.8,4192
09:00:00 PM,35.6,92.64,34.7,4416
