time,Occupancy,Flow,Slope,Queue,Stop_Time,Delay
02:15:00 PM,67.87,3132,46.1470458228967,4.28,25.16,25.56
02:30:00 PM,77.75,3444,44.2958199356913,4.6,31.63,24.9
02:45:00 PM,67.55,3308,48.9711324944486,4.04,25.14,22.92
03:00:00 PM,55.45,3184,57.4211000901713,3.43,26.38,22.06
03:15:00 PM,74.28,3532,47.5498115239634,4.92,27.01,25.71
03:30:00 PM,70.81,3572,50.4448524219743,4.65,29.65,24.61
03:45:00 PM,68.52,3556,51.89725627554,5.12,27.32,26.81
04:00:00 PM,73.31,3432,46.8148956486155,4.52,32.82,24.98
04:15:00 PM,71.88,3552,49.4156928213689,4.45,26.69,24.31
04:30:00 PM,71.82,3484,48.510164299638,3.62,17.98,20.05
04:45:00 PM,77.99,3736,47.9035773817156,4.92,21.62,24.89
05:00:00 PM,75.31,3724,49.4489443632984,4.38,20.47,22.24
05:15:00 PM,79.46,4048,50.9438711301284,6.18,28.03,29.2
05:30:00 PM,76.05,3828,50.3353057199211,5.03,27.73,25.3
05:45:00 PM,69.43,3792,54.6161601613135,4.25,20.22,21.74
06:00:00 PM,78.43,3708,47.2778273619788,6.03,34.04,33.57
06:15:00 PM,86.37,3860,44.6914437883524,6.34,28.59,29.32
06:30:00 PM,77.76,3664,47.119341563786,4.64,26.02,25.21
06:45:00 PM,68.01,3564,52.4040582267314,4.16,20.86,22.85
07:00:00 PM,78.13,3672,46.9985920901062,5.12,28.82,24.82
07:15:00 PM,43.34,3176,73.281033687125,3.19,20.72,21.54
07:30:00 PM,68.35,3132,45.8229700073153,3.87,33.64,23.25
07:45:00 PM,68.48,3328,48.5981308411215,4.44,37.9,24.35
08:00:00 PM,40.64,3164,77.8543307086614,2.68,16.47,17.8
08:15:00 PM,39.73,2508,63.1261011829852,2.25,20.7,19.05
08:30:00 PM,39.48,2460,62.3100303951368,2.18,16.05,18.18
08:45:00 PM,34.41,2344,68.1197326358617,2.05,19.35,17.76
