time,inflow
05:15:00 AM,1612
05:30:00 AM,1540
05:45:00 AM,2012
06:00:00 AM,1836
06:15:00 AM,2656
06:30:00 AM,2768
06:45:00 AM,3124
07:00:00 AM,3400
07:15:00 AM,5272
07:30:00 AM,6016
07:45:00 AM,6920
08:00:00 AM,7384
08:15:00 AM,6296
08:30:00 AM,6940
08:45:00 AM,6404
09:00:00 AM,6552
09:15:00 AM,5388
09:30:00 AM,5208
09:45:00 AM,5532
10:00:00 AM,5248
10:15:00 AM,4932
10:30:00 AM,5144
10:45:00 AM,4892
11:00:00 AM,5028
11:15:00 AM,5392
11:30:00 AM,5128
11:45:00 AM,5292
12:00:00 PM,5508
12:15:00 PM,5132
12:30:00 PM,5804
12:45:00 PM,5292
01:00:00 PM,5720
01:15:00 PM,5784
01:30:00 PM,5572
01:45:00 PM,5548
02:00:00 PM,5500
02:15:00 PM,4900
02:30:00 PM,5352
02:45:00 PM,5500
03:00:00 PM,5308
03:15:00 PM,5196
03:30:00 PM,5444
03:45:00 PM,5248
04:00:00 PM,5424
04:15:00 PM,5432
04:30:00 PM,5972
04:45:00 PM,5508
05:00:00 PM,5884
05:15:00 PM,5948
05:30:00 PM,6340
05:45:00 PM,6084
06:00:00 PM,6196
06:15:00 PM,5556
06:30:00 PM,6208
06:45:00 PM,5832
07:00:00 PM,5928
07:15:00 PM,4896
07:30:00 PM,4864
07:45:00 PM,4844
08:00:00 PM,4864
08:15:00 PM,3780
08:30:00 PM,3624
08:45:00 PM,3732
09:00:00 PM,3788
